"Plot Title: garibaldi_hobo_22_2019"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10201239, SEN S/N: 10201239, LBL: temp_C)","Coupler Attached (LGR S/N: 10201239)","Host Connected (LGR S/N: 10201239)","Stopped (LGR S/N: 10201239)","End Of File (LGR S/N: 10201239)"
209,09/08/19 04:00:00  AM,7.280,,,,
210,09/08/19 05:00:00  AM,6.978,,,,
211,09/08/19 06:00:00  AM,6.775,,,,
212,09/08/19 07:00:00  AM,7.983,,,,
213,09/08/19 08:00:00  AM,10.161,,,,
214,09/08/19 09:00:00  AM,11.819,,,,
215,09/08/19 10:00:00  AM,11.041,,,,
216,09/08/19 11:00:00  AM,14.900,,,,
217,09/08/19 12:00:00  PM,23.388,,,,
218,09/08/19 01:00:00  PM,20.901,,,,
219,09/08/19 02:00:00  PM,40.645,,,,
220,09/08/19 03:00:00  PM,19.948,,,,
221,09/08/19 04:00:00  PM,17.665,,,,
222,09/08/19 05:00:00  PM,15.378,,,,
223,09/08/19 06:00:00  PM,12.980,,,,
224,09/08/19 07:00:00  PM,9.472,,,,
225,09/08/19 08:00:00  PM,7.682,,,,
226,09/08/19 09:00:00  PM,7.481,,,,
227,09/08/19 10:00:00  PM,7.179,,,,
228,09/08/19 11:00:00  PM,7.179,,,,
229,09/09/19 12:00:00  AM,6.775,,,,
230,09/09/19 01:00:00  AM,5.037,,,,
231,09/09/19 02:00:00  AM,4.623,,,,
232,09/09/19 03:00:00  AM,5.655,,,,
233,09/09/19 04:00:00  AM,5.757,,,,
234,09/09/19 05:00:00  AM,5.450,,,,
235,09/09/19 06:00:00  AM,4.311,,,,
236,09/09/19 07:00:00  AM,2.303,,,,
237,09/09/19 08:00:00  AM,6.471,,,,
238,09/09/19 09:00:00  AM,14.134,,,,
239,09/09/19 10:00:00  AM,12.207,,,,
240,09/09/19 11:00:00  AM,13.173,,,,
241,09/09/19 12:00:00  PM,16.332,,,,
242,09/09/19 01:00:00  PM,16.523,,,,
243,09/09/19 02:00:00  PM,11.722,,,,
244,09/09/19 03:00:00  PM,13.076,,,,
245,09/09/19 04:00:00  PM,13.461,,,,
246,09/09/19 05:00:00  PM,32.497,,,,
247,09/09/19 06:00:00  PM,10.651,,,,
248,09/09/19 07:00:00  PM,7.983,,,,
249,09/09/19 08:00:00  PM,7.481,,,,
250,09/09/19 09:00:00  PM,6.674,,,,
251,09/09/19 10:00:00  PM,6.370,,,,
252,09/09/19 11:00:00  PM,4.934,,,,
253,09/10/19 12:00:00  AM,5.655,,,,
254,09/10/19 01:00:00  AM,5.757,,,,
255,09/10/19 02:00:00  AM,5.552,,,,
256,09/10/19 03:00:00  AM,5.450,,,,
257,09/10/19 04:00:00  AM,6.166,,,,
258,09/10/19 05:00:00  AM,6.166,,,,
259,09/10/19 06:00:00  AM,5.037,,,,
260,09/10/19 07:00:00  AM,5.860,,,,
261,09/10/19 08:00:00  AM,3.472,,,,
262,09/10/19 09:00:00  AM,11.334,,,,
263,09/10/19 10:00:00  AM,14.421,,,,
264,09/10/19 11:00:00  AM,16.999,,,,
265,09/10/19 12:00:00  PM,14.325,,,,
266,09/10/19 01:00:00  PM,14.038,,,,
267,09/10/19 02:00:00  PM,21.569,,,,
268,09/10/19 03:00:00  PM,19.092,,,,
269,09/10/19 04:00:00  PM,28.060,,,,
270,09/10/19 05:00:00  PM,13.173,,,,
271,09/10/19 06:00:00  PM,9.866,,,,
272,09/10/19 07:00:00  PM,8.282,,,,
273,09/10/19 08:00:00  PM,6.370,,,,
274,09/10/19 09:00:00  PM,1.980,,,,
275,09/10/19 10:00:00  PM,-0.549,,,,
276,09/10/19 11:00:00  PM,-1.114,,,,
277,09/11/19 12:00:00  AM,2.195,,,,
