"Plot Title: garibaldi_hobo_16_2019"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10406791, SEN S/N: 10406791)","Bad Battery (LGR S/N: 10406791)","Coupler Attached (LGR S/N: 10406791)","Host Connected (LGR S/N: 10406791)","Stopped (LGR S/N: 10406791)","End Of File (LGR S/N: 10406791)"
201,09/07/19 08:00:00  PM,8.581,,,,,
202,09/07/19 09:00:00  PM,6.978,,,,,
203,09/07/19 10:00:00  PM,7.079,,,,,
204,09/07/19 11:00:00  PM,7.179,,,,,
205,09/08/19 12:00:00  AM,7.582,,,,,
206,09/08/19 01:00:00  AM,8.978,,,,,
207,09/08/19 02:00:00  AM,8.282,,,,,
208,09/08/19 03:00:00  AM,7.983,,,,,
209,09/08/19 04:00:00  AM,7.582,,,,,
210,09/08/19 05:00:00  AM,6.877,,,,,
211,09/08/19 06:00:00  AM,6.775,,,,,
212,09/08/19 07:00:00  AM,7.481,,,,,
213,09/08/19 08:00:00  AM,8.879,,,,,
214,09/08/19 09:00:00  AM,10.063,,,,,
215,09/08/19 10:00:00  AM,9.472,,,,,
216,09/08/19 11:00:00  AM,11.722,,,,,
217,09/08/19 12:00:00  PM,20.710,,,,,
218,09/08/19 01:00:00  PM,14.325,,,,,
219,09/08/19 02:00:00  PM,13.558,,,,,
220,09/08/19 03:00:00  PM,14.421,,,,,
221,09/08/19 04:00:00  PM,13.942,,,,,
222,09/08/19 05:00:00  PM,12.110,,,,,
223,09/08/19 06:00:00  PM,10.944,,,,,
224,09/08/19 07:00:00  PM,8.382,,,,,
225,09/08/19 08:00:00  PM,7.582,,,,,
226,09/08/19 09:00:00  PM,7.179,,,,,
227,09/08/19 10:00:00  PM,6.674,,,,,
228,09/08/19 11:00:00  PM,6.775,,,,,
229,09/09/19 12:00:00  AM,6.268,,,,,
230,09/09/19 01:00:00  AM,5.962,,,,,
231,09/09/19 02:00:00  AM,5.450,,,,,
232,09/09/19 03:00:00  AM,5.962,,,,,
233,09/09/19 04:00:00  AM,5.757,,,,,
234,09/09/19 05:00:00  AM,5.141,,,,,
235,09/09/19 06:00:00  AM,4.727,,,,,
236,09/09/19 07:00:00  AM,4.102,,,,,
237,09/09/19 08:00:00  AM,5.450,,,,,
238,09/09/19 09:00:00  AM,10.063,,,,,
239,09/09/19 10:00:00  AM,8.879,,,,,
240,09/09/19 11:00:00  AM,9.768,,,,,
241,09/09/19 12:00:00  PM,11.528,,,,,
242,09/09/19 01:00:00  PM,12.787,,,,,
243,09/09/19 02:00:00  PM,9.768,,,,,
244,09/09/19 03:00:00  PM,9.275,,,,,
245,09/09/19 04:00:00  PM,10.063,,,,,
246,09/09/19 05:00:00  PM,19.092,,,,,
247,09/09/19 06:00:00  PM,9.866,,,,,
248,09/09/19 07:00:00  PM,7.481,,,,,
249,09/09/19 08:00:00  PM,6.471,,,,,
250,09/09/19 09:00:00  PM,5.860,,,,,
251,09/09/19 10:00:00  PM,5.962,,,,,
252,09/09/19 11:00:00  PM,5.552,,,,,
253,09/10/19 12:00:00  AM,5.141,,,,,
254,09/10/19 01:00:00  AM,5.141,,,,,
255,09/10/19 02:00:00  AM,5.244,,,,,
256,09/10/19 03:00:00  AM,5.037,,,,,
257,09/10/19 04:00:00  AM,4.934,,,,,
258,09/10/19 05:00:00  AM,4.623,,,,,
259,09/10/19 06:00:00  AM,4.727,,,,,
260,09/10/19 07:00:00  AM,5.244,,,,,
261,09/10/19 08:00:00  AM,4.311,,,,,
262,09/10/19 09:00:00  AM,8.182,,,,,
263,09/10/19 10:00:00  AM,10.259,,,,,
264,09/10/19 11:00:00  AM,12.304,,,,,
265,09/10/19 12:00:00  PM,11.625,,,,,
266,09/10/19 01:00:00  PM,10.161,,,,,
267,09/10/19 02:00:00  PM,14.709,,,,,
268,09/10/19 03:00:00  PM,14.134,,,,,
269,09/10/19 04:00:00  PM,13.076,,,,,
270,09/10/19 05:00:00  PM,10.161,,,,,
271,09/10/19 06:00:00  PM,7.782,,,,,
272,09/10/19 07:00:00  PM,7.280,,,,,
273,09/10/19 08:00:00  PM,5.347,,,,,
274,09/10/19 09:00:00  PM,3.998,,,,,
275,09/10/19 10:00:00  PM,3.155,,,,,
