"Plot Title: garibaldi_hobo_2_2019"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10355029, SEN S/N: 10355029, LBL: temp_C)","Coupler Attached (LGR S/N: 10355029)","Host Connected (LGR S/N: 10355029)","Stopped (LGR S/N: 10355029)","End Of File (LGR S/N: 10355029)"
180,08/02/19 11:00:00  PM,7.983,,,,
181,08/03/19 12:00:00  AM,6.978,,,,
182,08/03/19 01:00:00  AM,6.268,,,,
183,08/03/19 02:00:00  AM,5.552,,,,
184,08/03/19 03:00:00  AM,5.037,,,,
185,08/03/19 04:00:00  AM,4.623,,,,
186,08/03/19 05:00:00  AM,4.207,,,,
187,08/03/19 06:00:00  AM,4.207,,,,
188,08/03/19 07:00:00  AM,4.623,,,,
189,08/03/19 08:00:00  AM,5.244,,,,
190,08/03/19 09:00:00  AM,6.978,,,,
191,08/03/19 10:00:00  AM,8.779,,,,
192,08/03/19 11:00:00  AM,11.528,,,,
193,08/03/19 12:00:00  PM,19.282,,,,
194,08/03/19 01:00:00  PM,25.513,,,,
195,08/03/19 02:00:00  PM,28.357,,,,
196,08/03/19 03:00:00  PM,30.255,,,,
197,08/03/19 04:00:00  PM,29.152,,,,
198,08/03/19 05:00:00  PM,27.665,,,,
199,08/03/19 06:00:00  PM,18.045,,,,
200,08/03/19 07:00:00  PM,14.709,,,,
201,08/03/19 08:00:00  PM,12.304,,,,
202,08/03/19 09:00:00  PM,10.357,,,,
203,08/03/19 10:00:00  PM,9.472,,,,
204,08/03/19 11:00:00  PM,9.077,,,,
205,08/04/19 12:00:00  AM,8.680,,,,
206,08/04/19 01:00:00  AM,8.182,,,,
207,08/04/19 02:00:00  AM,7.682,,,,
208,08/04/19 03:00:00  AM,7.381,,,,
209,08/04/19 04:00:00  AM,7.179,,,,
210,08/04/19 05:00:00  AM,6.775,,,,
211,08/04/19 06:00:00  AM,6.978,,,,
212,08/04/19 07:00:00  AM,7.381,,,,
213,08/04/19 08:00:00  AM,7.682,,,,
214,08/04/19 09:00:00  AM,9.373,,,,
215,08/04/19 10:00:00  AM,11.528,,,,
216,08/04/19 11:00:00  AM,14.421,,,,
217,08/04/19 12:00:00  PM,21.951,,,,
218,08/04/19 01:00:00  PM,27.173,,,,
219,08/04/19 02:00:00  PM,30.054,,,,
220,08/04/19 03:00:00  PM,30.862,,,,
221,08/04/19 04:00:00  PM,30.760,,,,
222,08/04/19 05:00:00  PM,32.086,,,,
223,08/04/19 06:00:00  PM,20.424,,,,
224,08/04/19 07:00:00  PM,16.141,,,,
225,08/04/19 08:00:00  PM,13.654,,,,
226,08/04/19 09:00:00  PM,11.819,,,,
227,08/04/19 10:00:00  PM,10.846,,,,
228,08/04/19 11:00:00  PM,10.063,,,,
229,08/05/19 12:00:00  AM,10.063,,,,
230,08/05/19 01:00:00  AM,9.373,,,,
231,08/05/19 02:00:00  AM,9.176,,,,
232,08/05/19 03:00:00  AM,9.077,,,,
233,08/05/19 04:00:00  AM,8.879,,,,
234,08/05/19 05:00:00  AM,8.680,,,,
235,08/05/19 06:00:00  AM,8.382,,,,
236,08/05/19 07:00:00  AM,8.581,,,,
237,08/05/19 08:00:00  AM,8.978,,,,
238,08/05/19 09:00:00  AM,10.259,,,,
239,08/05/19 10:00:00  AM,12.883,,,,
240,08/05/19 11:00:00  AM,15.760,,,,
241,08/05/19 12:00:00  PM,24.255,,,,
242,08/05/19 01:00:00  PM,29.252,,,,
243,08/05/19 02:00:00  PM,31.370,,,,
244,08/05/19 03:00:00  PM,32.291,,,,
245,08/05/19 04:00:00  PM,32.188,,,,
246,08/05/19 05:00:00  PM,31.166,,,,
247,08/05/19 06:00:00  PM,20.805,,,,
248,08/05/19 07:00:00  PM,16.237,,,,
249,08/05/19 08:00:00  PM,14.804,,,,
250,08/05/19 09:00:00  PM,12.594,,,,
251,08/05/19 10:00:00  PM,11.431,,,,
252,08/05/19 11:00:00  PM,10.846,,,,
253,08/06/19 12:00:00  AM,10.553,,,,
254,08/06/19 01:00:00  AM,9.965,,,,
255,08/06/19 02:00:00  AM,9.571,,,,
256,08/06/19 03:00:00  AM,9.275,,,,
257,08/06/19 04:00:00  AM,8.481,,,,
258,08/06/19 05:00:00  AM,8.182,,,,
259,08/06/19 06:00:00  AM,8.282,,,,
260,08/06/19 07:00:00  AM,8.382,,,,
261,08/06/19 08:00:00  AM,8.978,,,,
262,08/06/19 09:00:00  AM,10.651,,,,
263,08/06/19 10:00:00  AM,13.173,,,,
