Site ,Stem_Count,Flowering ,Elevation,Distance_from_Glacial_Terminus_(m),Zone ,Notes,,
GB26,1,N,1366,3630,core,,,
GB26,1,N,1366,3630,core,,,
GB26,1,N,1366,3630,core,,,
GB26,1,N,1366,3630,core,,,
GB26,3,N,1366,3630,core,,,
GB26,7,N,1366,3630,core,,,
GB26,1,N,1366,3630,core,,,
GB26,1,N,1366,3630,core,,,
GB26,1,N,1366,3630,core,,,
GB26,4,N,1366,3630,core,,,
GB26,1,N,1366,3630,core,,,
GB26,1,N,1366,3630,core,,,
GB26,1,N,1366,3630,core,,,
GB26,2,N,1366,3630,core,,,
GB26,5,N,1366,3630,core,,,
GB26,3,N,1366,3630,core,,,
GB26,0,N,1366,3630,core,,,
GB26,4,N,1366,3630,core,,,
GB26,1,N,1366,3630,core,,,
GB26,1,N,1366,3630,core,,,
GB26,4,N,1366,3630,core,,,
GB26,1,N,1366,3630,core,,,
GB26,2,N,1366,3630,core,,,
GB26,4,N,1366,3630,core,,,
GB26,2,N,1366,3630,core,,,
GB26,1,N,1366,3630,core,,,
GB26,3,N,1366,3630,core,,,
GB26,4,N,1366,3630,core,,,
GB26,1,N,1366,3630,core,,,
GB26,1,N,1366,3630,core,,,
GB26,1,N,1366,3630,core,,,
GB26,1,N,1366,3630,core,,,
GB26,1,N,1366,3630,core,,,
GB26,1,N,1366,3630,core,,,
GB10,1,Y,1282,2450,1910,,,
GB10,1,Y,1282,2450,1910,,,
GB10,1,Y,1282,2450,1910,,,
GB10,0,Y,1282,2450,1910,,,
GB10,0,Y,1282,2450,1910,,,
GB10,3,Y,1282,2450,1910,,,
GB10,0,N,1282,2450,1910,,,
GB10,7,N,1282,2450,1910,,,
GB10,1,N,1282,2450,1910,,,
GB10,1,N,1282,2450,1910,,,
GB10,1,N,1282,2450,1910,,,
GB10,4,N,1282,2450,1910,,,
GB10,3,N,1282,2450,1910,,,
GB10,0,N,1282,2450,1910,,,
GB10,1,N,1282,2450,1910,,,
GB10,3,N,1282,2450,1910,,,
GB10,2,N,1282,2450,1910,,,
GB10,0,N,1282,2450,1910,,,
GB10,1,N,1282,2450,1910,,,
GB10,1,N,1282,2450,1910,,,
GB10,1,N,1282,2450,1910,,,
GB10,2,N,1282,2450,1910,,,
GB10,2,N,1282,2450,1910,,,
GB10,1,N,1282,2450,1910,,,
GB10,0,N,1282,2450,1910,,,
GB10,5,N,1282,2450,1910,,,
GB10,1,N,1282,2450,1910,,,
GB10,0,N,1282,2450,1910,,,
GB10,1,N,1282,2450,1910,,,
GB10,6,N,1282,2450,1910,,,
GB10,1,N,1282,2450,1910,,,
GB10,1,N,1282,2450,1910,,,
GB10,4,N,1282,2450,1910,,,
GB10,1,N,1282,2450,1910,,,
GB10,5,N,1282,2450,1910,,,
GB10,2,N,1282,2450,1910,,,
GB10,2,N,1282,2450,1910,,,
GB10,1,N,1282,2450,1910,,,
GB10,3,N,1282,2450,1910,,,
GB10,0,N,1282,2450,1910,,,
GB10,1,N,1282,2450,1910,,,
