"Plot Title: garibaldi_hobo_14_2019"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10406797, SEN S/N: 10406797)","Host Connected (LGR S/N: 10406797)","Coupler Attached (LGR S/N: 10406797)","Stopped (LGR S/N: 10406797)","End Of File (LGR S/N: 10406797)"
217,09/08/19 12:00:00  PM,17.284,,,,
218,09/08/19 01:00:00  PM,13.654,,,,
219,09/08/19 02:00:00  PM,14.709,,,,
220,09/08/19 03:00:00  PM,14.517,,,,
221,09/08/19 04:00:00  PM,12.690,,,,
222,09/08/19 05:00:00  PM,12.883,,,,
223,09/08/19 06:00:00  PM,9.965,,,,
224,09/08/19 07:00:00  PM,8.382,,,,
225,09/08/19 08:00:00  PM,7.481,,,,
226,09/08/19 09:00:00  PM,7.079,,,,
227,09/08/19 10:00:00  PM,7.079,,,,
228,09/08/19 11:00:00  PM,6.877,,,,
229,09/09/19 12:00:00  AM,6.573,,,,
230,09/09/19 01:00:00  AM,5.757,,,,
231,09/09/19 02:00:00  AM,5.347,,,,
232,09/09/19 03:00:00  AM,5.962,,,,
233,09/09/19 04:00:00  AM,5.655,,,,
234,09/09/19 05:00:00  AM,5.962,,,,
235,09/09/19 06:00:00  AM,4.934,,,,
236,09/09/19 07:00:00  AM,3.998,,,,
237,09/09/19 08:00:00  AM,6.370,,,,
238,09/09/19 09:00:00  AM,11.916,,,,
239,09/09/19 10:00:00  AM,9.669,,,,
240,09/09/19 11:00:00  AM,10.357,,,,
241,09/09/19 12:00:00  PM,10.944,,,,
242,09/09/19 01:00:00  PM,12.980,,,,
243,09/09/19 02:00:00  PM,10.259,,,,
244,09/09/19 03:00:00  PM,8.879,,,,
245,09/09/19 04:00:00  PM,10.455,,,,
246,09/09/19 05:00:00  PM,12.207,,,,
247,09/09/19 06:00:00  PM,8.978,,,,
248,09/09/19 07:00:00  PM,7.179,,,,
249,09/09/19 08:00:00  PM,6.978,,,,
250,09/09/19 09:00:00  PM,6.573,,,,
251,09/09/19 10:00:00  PM,6.471,,,,
252,09/09/19 11:00:00  PM,6.166,,,,
253,09/10/19 12:00:00  AM,6.064,,,,
254,09/10/19 01:00:00  AM,5.962,,,,
255,09/10/19 02:00:00  AM,6.166,,,,
256,09/10/19 03:00:00  AM,5.962,,,,
