"Plot Title: garibaldi_hobo_6_2019"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10019732, SEN S/N: 10019732, LBL: Temp)","Coupler Attached (LGR S/N: 10019732)","Host Connected (LGR S/N: 10019732)","Stopped (LGR S/N: 10019732)","End Of File (LGR S/N: 10019732)"
283,08/07/19 06:00:00  AM,9.077,,,,
284,08/07/19 07:00:00  AM,9.077,,,,
285,08/07/19 08:00:00  AM,9.768,,,,
286,08/07/19 09:00:00  AM,11.041,,,,
287,08/07/19 10:00:00  AM,15.187,,,,
288,08/07/19 11:00:00  AM,31.472,,,,
289,08/07/19 12:00:00  PM,34.479,,,,
290,08/07/19 01:00:00  PM,36.403,,,,
291,08/07/19 02:00:00  PM,37.935,,,,
292,08/07/19 03:00:00  PM,39.389,,,,
293,08/07/19 04:00:00  PM,38.826,,,,
294,08/07/19 05:00:00  PM,38.379,,,,
295,08/07/19 06:00:00  PM,20.234,,,,
296,08/07/19 07:00:00  PM,17.284,,,,
297,08/07/19 08:00:00  PM,14.900,,,,
298,08/07/19 09:00:00  PM,13.365,,,,
299,08/07/19 10:00:00  PM,12.594,,,,
300,08/07/19 11:00:00  PM,11.916,,,,
301,08/08/19 12:00:00  AM,11.334,,,,
302,08/08/19 01:00:00  AM,10.748,,,,
303,08/08/19 02:00:00  AM,10.455,,,,
304,08/08/19 03:00:00  AM,9.866,,,,
305,08/08/19 04:00:00  AM,9.571,,,,
306,08/08/19 05:00:00  AM,8.879,,,,
307,08/08/19 06:00:00  AM,8.779,,,,
308,08/08/19 07:00:00  AM,8.680,,,,
309,08/08/19 08:00:00  AM,9.373,,,,
310,08/08/19 09:00:00  AM,10.651,,,,
311,08/08/19 10:00:00  AM,13.942,,,,
312,08/08/19 11:00:00  AM,30.054,,,,
313,08/08/19 12:00:00  PM,33.326,,,,
314,08/08/19 01:00:00  PM,35.328,,,,
315,08/08/19 02:00:00  PM,37.824,,,,
316,08/08/19 03:00:00  PM,38.268,,,,
317,08/08/19 04:00:00  PM,36.511,,,,
318,08/08/19 05:00:00  PM,35.542,,,,
319,08/08/19 06:00:00  PM,20.710,,,,
320,08/08/19 07:00:00  PM,16.713,,,,
321,08/08/19 08:00:00  PM,14.709,,,,
322,08/08/19 09:00:00  PM,13.269,,,,
323,08/08/19 10:00:00  PM,12.013,,,,
324,08/08/19 11:00:00  PM,11.236,,,,
325,08/09/19 12:00:00  AM,10.553,,,,
326,08/09/19 01:00:00  AM,9.669,,,,
327,08/09/19 02:00:00  AM,11.431,,,,
328,08/09/19 03:00:00  AM,11.334,,,,
329,08/09/19 04:00:00  AM,10.259,,,,
330,08/09/19 05:00:00  AM,10.357,,,,
331,08/09/19 06:00:00  AM,10.455,,,,
332,08/09/19 07:00:00  AM,10.944,,,,
333,08/09/19 08:00:00  AM,12.207,,,,
334,08/09/19 09:00:00  AM,15.091,,,,
335,08/09/19 10:00:00  AM,14.134,,,,
336,08/09/19 11:00:00  AM,16.903,,,,
337,08/09/19 12:00:00  PM,17.950,,,,
338,08/09/19 01:00:00  PM,21.282,,,,
339,08/09/19 02:00:00  PM,19.567,,,,
340,08/09/19 03:00:00  PM,31.574,,,,
